book_title,chapter,emotion,sentiment
Harry Potter and the Chamber of Secrets,24,Disgust,6.738173817381738e-4
Harry Potter and the Chamber of Secrets,24,Fear,7.563256325632563e-4
Harry Potter and the Chamber of Secrets,24,Joy,7.013201320132013e-4
Harry Potter and the Chamber of Secrets,24,Sadness,0.0015676567656765675
Harry Potter and the Chamber of Secrets,24,Surprise,5.363036303630363e-4
Harry Potter and the Chamber of Secrets,24,Trust,0.0011688668866886688
Harry Potter and the Chamber of Secrets,25,Anger,0.0016484765802637562
Harry Potter and the Chamber of Secrets,25,Anticipation,8.95293315143247e-4
Harry Potter and the Chamber of Secrets,25,Disgust,8.668713051386993e-4
Harry Potter and the Chamber of Secrets,25,Fear,0.0012363574351978172
Harry Potter and the Chamber of Secrets,25,Joy,6.963392451114143e-4
Harry Potter and the Chamber of Secrets,25,Sadness,0.0019895407003183265
Harry Potter and the Chamber of Secrets,25,Surprise,4.973851750795816e-4
Harry Potter and the Chamber of Secrets,25,Trust,9.805593451568896e-4
Harry Potter and the Chamber of Secrets,26,Anger,0.0012040280210157618
Harry Potter and the Chamber of Secrets,26,Anticipation,5.59447363300253e-4
Harry Potter and the Chamber of Secrets,26,Disgust,6.324187585133294e-4
Harry Potter and the Chamber of Secrets,26,Fear,7.905234481416618e-4
Harry Potter and the Chamber of Secrets,26,Joy,3.6485697606538237e-4
Harry Potter and the Chamber of Secrets,26,Sadness,0.0012040280210157618
Harry Potter and the Chamber of Secrets,26,Surprise,4.013426736719206e-4
Harry Potter and the Chamber of Secrets,26,Trust,9.486281377699942e-4
Harry Potter and the Chamber of Secrets,27,Anger,0.0018910741301059
Harry Potter and the Chamber of Secrets,27,Anticipation,6.855143721633888e-4
Harry Potter and the Chamber of Secrets,27,Disgust,7.091527987897125e-4
Harry Potter and the Chamber of Secrets,27,Fear,0.0013473903177004538
Harry Potter and the Chamber of Secrets,27,Joy,4.491301059001513e-4
Harry Potter and the Chamber of Secrets,27,Sadness,0.0020329046898638426
Harry Potter and the Chamber of Secrets,27,Surprise,5.909606656580937e-4
Harry Potter and the Chamber of Secrets,27,Trust,0.0010991868381240546
Harry Potter and the Chamber of Secrets,28,Anger,0.001532016008004002
Harry Potter and the Chamber of Secrets,28,Anticipation,6.565782891445723e-4
Harry Potter and the Chamber of Secrets,28,Disgust,6.148907787226947e-4
Harry Potter and the Chamber of Secrets,28,Fear,0.001198515924628981
Harry Potter and the Chamber of Secrets,28,Joy,3.7518759379689845e-4
Harry Potter and the Chamber of Secrets,28,Sadness,0.0016153910288477574
Harry Potter and the Chamber of Secrets,28,Surprise,5.210938802734701e-4
Harry Potter and the Chamber of Secrets,28,Trust,8.754377188594296e-4
Harry Potter and the Chamber of Secrets,29,Anger,0.0016517279615597858
Harry Potter and the Chamber of Secrets,29,Anticipation,0.0011088523378303457
Harry Potter and the Chamber of Secrets,29,Disgust,6.583810755867676e-4
Harry Potter and the Chamber of Secrets,29,Fear,0.0010973017926446129
Harry Potter and the Chamber of Secrets,29,Joy,5.544261689151729e-4
Harry Potter and the Chamber of Secrets,29,Sadness,0.0018596377749029757
Harry Potter and the Chamber of Secrets,29,Surprise,5.659767141009055e-4
Harry Potter and the Chamber of Secrets,29,Trust,8.316392533727592e-4
Harry Potter and the Chamber of Secrets,30,Anger,0.0014886363636363636
Harry Potter and the Chamber of Secrets,30,Anticipation,0.0010113636363636362
Harry Potter and the Chamber of Secrets,30,Disgust,6.931818181818182e-4
Harry Potter and the Chamber of Secrets,30,Fear,7.954545454545455e-4
Harry Potter and the Chamber of Secrets,30,Joy,8.977272727272727e-4
Harry Potter and the Chamber of Secrets,30,Sadness,0.0017159090909090909
Harry Potter and the Chamber of Secrets,30,Surprise,0.0010795454545454546
Harry Potter and the Chamber of Secrets,30,Trust,0.0013068181818181818
Harry Potter and the Chamber of Secrets,31,Anger,0.001226427115188583
Harry Potter and the Chamber of Secrets,31,Anticipation,0.0010352956167176352
Harry Potter and the Chamber of Secrets,31,Disgust,4.6190112130479105e-4
Harry Potter and the Chamber of Secrets,31,Fear,0.001226427115188583
Harry Potter and the Chamber of Secrets,31,Joy,6.21177370030581e-4
Harry Potter and the Chamber of Secrets,31,Sadness,0.001321992864424057
Harry Potter and the Chamber of Secrets,31,Surprise,5.89322120285423e-4
Harry Potter and the Chamber of Secrets,31,Trust,0.001226427115188583
Harry Potter and the Chamber of Secrets,32,Anger,0.001729779017378245
Harry Potter and the Chamber of Secrets,32,Anticipation,6.704569834799399e-4
Harry Potter and the Chamber of Secrets,32,Disgust,5.497747264535507e-4
Harry Potter and the Chamber of Secrets,32,Fear,0.0010593220338983053
Harry Potter and the Chamber of Secrets,32,Joy,5.631838661231496e-4
Harry Potter and the Chamber of Secrets,32,Sadness,0.0017297790173782452
Harry Potter and the Chamber of Secrets,32,Surprise,4.827290281055567e-4
Harry Potter and the Chamber of Secrets,32,Trust,9.25230637202317e-4
Harry Potter and the Chamber of Secrets,33,Anger,0.0015225066195939984
Harry Potter and the Chamber of Secrets,33,Anticipation,7.833186231244484e-4
Harry Potter and the Chamber of Secrets,33,Disgust,6.509267431597529e-4
Harry Potter and the Chamber of Secrets,33,Fear,0.0011473962930273608
Harry Potter and the Chamber of Secrets,33,Joy,3.861429832303619e-4
Harry Potter and the Chamber of Secrets,33,Sadness,0.0016879964695498677
Harry Potter and the Chamber of Secrets,33,Surprise,4.0820829655781115e-4
Harry Potter and the Chamber of Secrets,33,Trust,9.488084730803177e-4
Harry Potter and the Chamber of Secrets,34,Anger,0.002251940133037694
Harry Potter and the Chamber of Secrets,34,Anticipation,0.0011086474501108647
Harry Potter and the Chamber of Secrets,34,Disgust,8.314855875831487e-4
Harry Potter and the Chamber of Secrets,34,Fear,0.0013280672579453067
Harry Potter and the Chamber of Secrets,34,Joy,9.931633407243162e-4
Harry Potter and the Chamber of Secrets,34,Sadness,0.002332779009608278
Harry Potter and the Chamber of Secrets,34,Surprise,0.0010740022172949003
Harry Potter and the Chamber of Secrets,34,Trust,0.0012125831485587583
Harry Potter and the Chamber of Secrets,35,Anger,0.0019010138740661688
Harry Potter and the Chamber of Secrets,35,Anticipation,8.671291355389541e-4
Harry Potter and the Chamber of Secrets,35,Disgust,9.004802561366062e-4
Harry Potter and the Chamber of Secrets,35,Fear,0.001183964781216649
Harry Potter and the Chamber of Secrets,35,Joy,9.838580576307363e-4
Harry Potter and the Chamber of Secrets,35,Sadness,0.002017742796157951
Harry Potter and the Chamber of Secrets,35,Surprise,7.003735325506938e-4
Harry Potter and the Chamber of Secrets,35,Trust,0.0018343116328708644
Harry Potter and the Prisoner of Azkaban,36,Anger,0.0017417478354978355
Harry Potter and the Prisoner of Azkaban,36,Anticipation,0.001471185064935065
Harry Potter and the Prisoner of Azkaban,36,Disgust,7.271374458874459e-4
Harry Potter and the Prisoner of Azkaban,36,Fear,0.0011329816017316017
Harry Potter and the Prisoner of Azkaban,36,Joy,8.793290043290044e-4
Harry Potter and the Prisoner of Azkaban,36,Sadness,0.0018262987012987013
Harry Potter and the Prisoner of Azkaban,36,Surprise,8.285984848484849e-4
Harry Potter and the Prisoner of Azkaban,36,Trust,0.0012006222943722945
Harry Potter and the Prisoner of Azkaban,37,Anger,0.001993129375162043
Harry Potter and the Prisoner of Azkaban,37,Anticipation,6.157635467980295e-4
Harry Potter and the Prisoner of Azkaban,37,Disgust,9.074410163339384e-4
Harry Potter and the Prisoner of Azkaban,37,Fear,9.722582317863626e-4
Harry Potter and the Prisoner of Azkaban,37,Joy,7.129893699766659e-4
Harry Potter and the Prisoner of Azkaban,37,Sadness,0.0020093336790251493
Harry Potter and the Prisoner of Azkaban,37,Surprise,4.5372050816696913e-4
Harry Potter and the Prisoner of Azkaban,37,Trust,0.0017176562094892403
Harry Potter and the Prisoner of Azkaban,38,Anger,0.0018697191139529573
Harry Potter and the Prisoner of Azkaban,38,Anticipation,8.706325645124458e-4
Harry Potter and the Prisoner of Azkaban,38,Disgust,6.279972596483214e-4
Harry Potter and the Prisoner of Azkaban,38,Fear,9.134505594884677e-4
Harry Potter and the Prisoner of Azkaban,38,Joy,7.849965745604019e-4
Harry Potter and the Prisoner of Azkaban,38,Sadness,0.002497716373601279
Harry Potter and the Prisoner of Azkaban,38,Surprise,7.279059145923727e-4
Harry Potter and the Prisoner of Azkaban,38,Trust,0.0010419045444165333
Harry Potter and the Prisoner of Azkaban,39,Anger,0.0013589618021547503
Harry Potter and the Prisoner of Azkaban,39,Anticipation,9.671890303623898e-4
Harry Potter and the Prisoner of Azkaban,39,Disgust,6.856023506366307e-4
Harry Potter and the Prisoner of Azkaban,39,Fear,9.794319294809011e-4
Harry Potter and the Prisoner of Azkaban,39,Joy,8.202742409402547e-4
Harry Potter and the Prisoner of Azkaban,39,Sadness,0.0014691478942213518
Harry Potter and the Prisoner of Azkaban,39,Surprise,7.100881488736532e-4
Harry Potter and the Prisoner of Azkaban,39,Trust,9.304603330068561e-4
Harry Potter and the Prisoner of Azkaban,40,Anger,0.0016909864721082232
Harry Potter and the Prisoner of Azkaban,40,Anticipation,7.599939200486395e-4
